mold_code,pred,shap_top_feature,upper_mold_temp1,upper_mold_temp2,lower_mold_temp1,lower_mold_temp2,cast_pressure,sleeve_temperature,low_section_speed,Coolant_temperature
8412,0,,211.0,119.0,124.0,205.0,315.0,402.0,110.0,34.0
8412,0,,211.0,124.0,125.0,206.0,315.0,397.0,110.0,34.0
8412,0,,212.0,128.0,125.0,205.0,315.0,394.0,110.0,34.0
8412,0,,212.0,134.0,125.0,205.0,316.0,394.0,110.0,34.0
8412,0,,212.0,125.0,125.0,208.0,315.0,393.0,110.0,34.0
8412,0,,219.0,126.0,126.0,210.0,316.0,402.0,110.0,34.0
8412,0,,219.0,119.0,126.0,209.0,316.0,406.0,110.0,34.0
8412,0,,211.0,119.0,126.0,206.0,316.0,396.0,110.0,34.0
8412,0,,214.0,119.0,127.0,209.0,316.0,402.0,110.0,34.0
8412,0,,211.0,120.0,127.0,208.0,316.0,397.0,110.0,34.0
8412,0,,212.0,136.0,127.0,206.0,316.0,402.0,110.0,34.0
8412,0,,212.0,126.0,127.0,205.0,316.0,400.0,110.0,34.0
8412,0,,212.0,123.0,127.0,209.0,331.0,404.0,110.0,34.0
8412,0,,213.0,121.0,127.0,208.0,315.0,393.0,110.0,34.0
8412,0,,214.0,127.0,127.0,207.0,316.0,392.0,110.0,34.0
8412,0,,214.0,127.0,127.0,208.0,316.0,399.0,110.0,34.0
8412,0,,147.0,124.0,121.0,169.0,316.0,355.0,110.0,34.0
8412,0,,197.0,143.0,122.0,190.0,330.0,386.0,110.0,34.0
8412,0,,207.0,130.0,124.0,200.0,316.0,396.0,110.0,34.0
8412,0,,207.0,125.0,124.0,198.0,330.0,396.0,110.0,34.0
8412,0,,209.0,128.0,125.0,202.0,316.0,395.0,110.0,34.0
8412,0,,212.0,126.0,126.0,204.0,317.0,397.0,110.0,34.0
8412,0,,212.0,128.0,126.0,205.0,317.0,399.0,110.0,34.0
8412,0,,211.0,150.0,127.0,207.0,316.0,398.0,110.0,34.0
8412,0,,212.0,134.0,127.0,206.0,316.0,403.0,110.0,34.0
8412,0,,211.0,142.0,127.0,209.0,317.0,399.0,110.0,34.0
8412,0,,216.0,142.0,128.0,209.0,316.0,404.0,110.0,34.0
8412,0,,216.0,142.0,128.0,208.0,315.0,404.0,110.0,34.0
8412,0,,213.0,129.0,128.0,204.0,316.0,401.0,110.0,34.0
8412,0,,212.0,155.0,128.0,202.0,317.0,403.0,110.0,34.0
8412,0,,214.0,124.0,128.0,204.0,330.0,397.0,110.0,34.0
8412,0,,211.0,122.0,128.0,205.0,317.0,398.0,110.0,34.0
8412,0,,213.0,151.0,128.0,206.0,317.0,402.0,110.0,34.0
8412,0,,213.0,141.0,128.0,205.0,317.0,402.0,110.0,34.0
8412,0,,214.0,153.0,128.0,206.0,330.0,402.0,110.0,34.0
8412,0,,216.0,145.0,129.0,205.0,331.0,405.0,110.0,34.0
8412,0,,213.0,157.0,129.0,207.0,330.0,402.0,110.0,34.0
8412,0,,215.0,134.0,129.0,207.0,319.0,402.0,110.0,34.0
8412,0,,217.0,146.0,129.0,212.0,330.0,392.0,110.0,34.0
8412,0,,218.0,129.0,129.0,213.0,319.0,400.0,110.0,34.0
8412,0,,217.0,142.0,129.0,210.0,319.0,399.0,110.0,34.0
8412,0,,215.0,140.0,129.0,208.0,318.0,402.0,110.0,34.0
8412,0,,215.0,143.0,129.0,209.0,318.0,401.0,110.0,34.0
8412,0,,216.0,150.0,129.0,212.0,319.0,404.0,110.0,34.0
8412,0,,217.0,137.0,129.0,212.0,319.0,407.0,110.0,34.0
8412,0,,216.0,134.0,129.0,213.0,319.0,408.0,110.0,34.0
8412,0,,215.0,137.0,130.0,212.0,319.0,406.0,110.0,34.0
8412,0,,214.0,143.0,130.0,212.0,319.0,408.0,110.0,34.0
8412,0,,216.0,146.0,130.0,212.0,330.0,406.0,110.0,34.0
8412,0,,215.0,130.0,130.0,210.0,319.0,404.0,110.0,34.0
8412,0,,216.0,139.0,130.0,211.0,319.0,405.0,110.0,34.0
8412,0,,214.0,137.0,130.0,212.0,319.0,403.0,110.0,34.0
8412,0,,215.0,144.0,130.0,211.0,320.0,402.0,110.0,34.0
8412,0,,215.0,140.0,130.0,210.0,319.0,407.0,110.0,34.0
8412,0,,147.0,148.0,123.0,174.0,320.0,361.0,110.0,34.0
8412,0,,197.0,134.0,124.0,193.0,331.0,390.0,110.0,34.0
8412,0,,207.0,139.0,125.0,200.0,331.0,398.0,110.0,34.0
8412,0,,211.0,137.0,126.0,205.0,330.0,395.0,110.0,34.0
8412,0,,211.0,155.0,127.0,206.0,330.0,398.0,110.0,34.0
8412,0,,212.0,131.0,127.0,209.0,318.0,404.0,110.0,34.0
8412,0,,214.0,159.0,128.0,207.0,319.0,405.0,110.0,34.0
8412,0,,216.0,145.0,128.0,209.0,318.0,401.0,110.0,34.0
8412,0,,214.0,151.0,129.0,210.0,317.0,400.0,110.0,34.0
8412,0,,212.0,135.0,129.0,209.0,318.0,394.0,110.0,34.0
8412,0,,214.0,128.0,129.0,209.0,318.0,401.0,110.0,34.0
8412,0,,212.0,148.0,129.0,207.0,318.0,402.0,110.0,34.0
8412,0,,210.0,147.0,129.0,207.0,330.0,403.0,110.0,34.0
8412,0,,214.0,134.0,129.0,206.0,318.0,409.0,110.0,34.0
8412,0,,212.0,138.0,129.0,207.0,330.0,409.0,110.0,34.0
8412,0,,211.0,157.0,129.0,207.0,318.0,404.0,110.0,34.0
8412,0,,212.0,135.0,129.0,209.0,318.0,401.0,110.0,34.0
8412,0,,215.0,131.0,129.0,209.0,318.0,404.0,110.0,34.0
8412,0,,215.0,131.0,130.0,209.0,318.0,406.0,110.0,34.0
8412,0,,213.0,130.0,130.0,208.0,330.0,400.0,110.0,34.0
8412,0,,212.0,151.0,130.0,206.0,318.0,404.0,110.0,34.0
8412,0,,211.0,130.0,130.0,205.0,330.0,403.0,110.0,34.0
8412,0,,213.0,148.0,130.0,209.0,330.0,408.0,110.0,34.0
8412,0,,211.0,131.0,130.0,211.0,318.0,397.0,110.0,34.0
8412,0,,214.0,140.0,130.0,212.0,318.0,402.0,110.0,34.0
8412,0,,215.0,124.0,130.0,214.0,318.0,406.0,110.0,34.0
8412,0,,216.0,129.0,130.0,211.0,318.0,404.0,110.0,34.0
8412,0,,211.0,129.0,130.0,209.0,318.0,406.0,110.0,34.0
8412,0,,213.0,150.0,130.0,209.0,318.0,404.0,110.0,34.0
8412,0,,209.0,136.0,130.0,207.0,318.0,407.0,110.0,34.0
8412,0,,195.0,143.0,129.0,198.0,318.0,397.0,110.0,34.0
8412,0,,207.0,131.0,129.0,199.0,318.0,401.0,110.0,34.0
8412,0,,208.0,145.0,129.0,202.0,318.0,401.0,110.0,34.0
8412,0,,210.0,158.0,129.0,204.0,318.0,403.0,110.0,34.0
8412,0,,211.0,158.0,129.0,206.0,319.0,408.0,110.0,34.0
8412,0,,210.0,143.0,129.0,206.0,319.0,404.0,110.0,34.0
8412,0,,211.0,149.0,129.0,207.0,319.0,406.0,110.0,34.0
8412,0,,211.0,160.0,130.0,207.0,318.0,403.0,110.0,34.0
8412,0,,210.0,143.0,130.0,205.0,319.0,404.0,110.0,34.0
8412,0,,147.0,155.0,124.0,173.0,319.0,370.0,110.0,34.0
8412,0,,197.0,129.0,124.0,192.0,330.0,395.0,110.0,34.0
8412,0,,206.0,119.0,126.0,201.0,319.0,398.0,110.0,34.0
8412,0,,210.0,130.0,127.0,206.0,330.0,399.0,110.0,34.0
8412,0,,213.0,154.0,128.0,209.0,318.0,402.0,110.0,34.0
8412,0,,216.0,154.0,128.0,208.0,318.0,401.0,110.0,34.0
8412,0,,214.0,160.0,129.0,208.0,319.0,403.0,110.0,34.0
8412,0,,215.0,160.0,129.0,208.0,330.0,404.0,110.0,34.0
8412,0,,214.0,160.0,129.0,207.0,318.0,401.0,110.0,34.0
8412,0,,215.0,160.0,129.0,209.0,318.0,401.0,110.0,34.0
8412,0,,217.0,158.0,130.0,211.0,318.0,402.0,110.0,34.0
8412,0,,215.0,159.0,130.0,211.0,319.0,402.0,110.0,34.0
8412,0,,215.0,144.0,130.0,210.0,319.0,405.0,110.0,34.0
8412,0,,214.0,150.0,130.0,211.0,319.0,405.0,110.0,34.0
8412,0,,213.0,150.0,130.0,208.0,330.0,401.0,110.0,34.0
8412,0,,214.0,138.0,130.0,212.0,318.0,403.0,110.0,34.0
8412,0,,216.0,135.0,130.0,214.0,318.0,402.0,110.0,34.0
8412,0,,216.0,159.0,130.0,210.0,319.0,401.0,110.0,34.0
8412,0,,216.0,160.0,130.0,211.0,330.0,405.0,110.0,34.0
8412,0,,215.0,161.0,131.0,214.0,330.0,406.0,110.0,34.0
8412,0,,214.0,161.0,131.0,214.0,318.0,409.0,110.0,34.0
8412,0,,217.0,155.0,131.0,217.0,330.0,407.0,110.0,34.0
8412,0,,216.0,145.0,131.0,216.0,318.0,411.0,110.0,34.0
8412,0,,216.0,141.0,131.0,212.0,318.0,410.0,110.0,34.0
8412,0,,217.0,161.0,131.0,212.0,318.0,407.0,110.0,34.0
8412,0,,214.0,161.0,131.0,213.0,318.0,411.0,110.0,34.0
8412,0,,213.0,162.0,131.0,211.0,318.0,411.0,110.0,34.0
8412,0,,215.0,158.0,131.0,210.0,318.0,411.0,110.0,34.0
8412,0,,215.0,160.0,131.0,210.0,318.0,407.0,110.0,34.0
8412,0,,216.0,157.0,131.0,213.0,318.0,405.0,110.0,34.0
8412,0,,217.0,149.0,131.0,213.0,330.0,411.0,110.0,34.0
8412,0,,213.0,162.0,131.0,212.0,318.0,412.0,110.0,34.0
8412,0,,216.0,162.0,131.0,209.0,318.0,409.0,110.0,34.0
8412,0,,216.0,160.0,131.0,202.0,318.0,411.0,110.0,34.0
8412,0,,213.0,162.0,131.0,208.0,319.0,408.0,110.0,34.0
8412,0,,215.0,160.0,131.0,212.0,318.0,402.0,110.0,34.0
8412,0,,215.0,161.0,132.0,212.0,318.0,406.0,110.0,34.0
8412,0,,214.0,161.0,132.0,211.0,318.0,410.0,110.0,34.0
8412,0,,215.0,162.0,132.0,211.0,317.0,415.0,110.0,34.0
8412,0,,148.0,161.0,126.0,174.0,317.0,366.0,110.0,34.0
8412,0,,196.0,150.0,126.0,193.0,330.0,399.0,110.0,34.0
8412,0,,204.0,146.0,127.0,202.0,318.0,404.0,110.0,34.0
8412,0,,196.0,160.0,127.0,197.0,317.0,401.0,110.0,34.0
8412,0,,207.0,156.0,128.0,203.0,318.0,407.0,110.0,34.0
8412,0,,210.0,160.0,128.0,205.0,318.0,414.0,110.0,34.0
8412,0,,211.0,157.0,129.0,208.0,330.0,407.0,110.0,34.0
8412,0,,212.0,160.0,129.0,209.0,331.0,418.0,110.0,34.0
8412,0,,215.0,160.0,130.0,208.0,331.0,413.0,110.0,34.0
8412,0,,213.0,157.0,130.0,209.0,318.0,407.0,110.0,34.0
8412,0,,211.0,158.0,130.0,209.0,330.0,408.0,110.0,34.0
8412,0,,209.0,161.0,130.0,200.0,317.0,405.0,110.0,34.0
8412,0,,211.0,160.0,130.0,207.0,331.0,407.0,110.0,34.0
8412,0,,213.0,144.0,130.0,207.0,317.0,401.0,110.0,34.0
8412,0,,212.0,157.0,130.0,202.0,317.0,408.0,110.0,34.0
8412,0,,211.0,157.0,130.0,204.0,316.0,408.0,110.0,34.0
8412,0,,212.0,158.0,130.0,205.0,330.0,409.0,110.0,34.0
8412,0,,210.0,161.0,130.0,205.0,330.0,400.0,110.0,34.0
8412,0,,213.0,161.0,130.0,206.0,330.0,406.0,110.0,34.0
8412,0,,211.0,149.0,130.0,206.0,317.0,403.0,110.0,34.0
8412,0,,211.0,160.0,130.0,207.0,317.0,411.0,110.0,34.0
8412,0,,211.0,158.0,130.0,207.0,317.0,415.0,110.0,34.0
8412,0,,213.0,131.0,130.0,209.0,318.0,413.0,110.0,34.0
8412,0,,211.0,148.0,130.0,209.0,317.0,412.0,110.0,34.0
8412,0,,212.0,129.0,130.0,211.0,317.0,410.0,110.0,34.0
8412,0,,212.0,161.0,130.0,208.0,317.0,412.0,110.0,34.0
8412,0,,211.0,125.0,131.0,205.0,316.0,411.0,110.0,34.0
8412,0,,211.0,145.0,130.0,208.0,330.0,408.0,110.0,34.0
8412,0,,213.0,150.0,130.0,206.0,317.0,412.0,110.0,34.0
8412,0,,210.0,148.0,130.0,207.0,317.0,414.0,110.0,34.0
8412,0,,212.0,140.0,130.0,207.0,317.0,408.0,110.0,34.0
8412,0,,217.0,156.0,131.0,211.0,330.0,412.0,110.0,34.0
8412,0,,215.0,161.0,131.0,209.0,317.0,414.0,110.0,34.0
8412,0,,213.0,156.0,131.0,208.0,317.0,415.0,110.0,34.0
8412,0,,210.0,158.0,131.0,206.0,317.0,406.0,110.0,34.0
8412,0,,215.0,145.0,131.0,211.0,317.0,401.0,110.0,34.0
8412,0,,216.0,161.0,131.0,208.0,317.0,406.0,110.0,34.0
8412,0,,213.0,161.0,131.0,210.0,317.0,410.0,110.0,34.0
8412,0,,212.0,161.0,131.0,207.0,317.0,408.0,110.0,34.0
8412,0,,212.0,161.0,131.0,208.0,317.0,410.0,110.0,34.0
8412,0,,149.0,160.0,125.0,175.0,318.0,374.0,110.0,34.0
8412,0,,197.0,160.0,125.0,196.0,317.0,395.0,110.0,34.0
8412,0,,204.0,160.0,127.0,198.0,317.0,396.0,110.0,33.0
8412,0,,205.0,156.0,127.0,200.0,318.0,403.0,110.0,34.0
8412,0,,207.0,160.0,128.0,201.0,330.0,403.0,110.0,34.0
8412,0,,207.0,160.0,128.0,200.0,317.0,407.0,110.0,33.0
8412,0,,206.0,160.0,128.0,202.0,318.0,400.0,110.0,33.0
8412,0,,208.0,160.0,128.0,203.0,317.0,401.0,110.0,34.0
8412,0,,209.0,149.0,128.0,205.0,330.0,406.0,110.0,34.0
8412,0,,211.0,160.0,129.0,208.0,317.0,410.0,110.0,33.0
8412,0,,211.0,160.0,129.0,208.0,317.0,408.0,110.0,33.0
8412,0,,209.0,161.0,129.0,210.0,317.0,410.0,110.0,33.0
8412,0,,209.0,161.0,129.0,207.0,317.0,408.0,110.0,33.0
8412,0,,210.0,161.0,129.0,208.0,317.0,409.0,110.0,33.0
8412,0,,211.0,161.0,129.0,207.0,330.0,412.0,110.0,33.0
8412,0,,211.0,146.0,129.0,207.0,318.0,409.0,110.0,34.0
8412,0,,211.0,161.0,129.0,207.0,317.0,411.0,110.0,34.0
8412,0,,211.0,161.0,129.0,209.0,317.0,413.0,110.0,34.0
8412,0,,206.0,137.0,129.0,208.0,317.0,415.0,110.0,34.0
8412,0,,211.0,161.0,129.0,207.0,317.0,419.0,110.0,34.0
8412,0,,210.0,158.0,129.0,208.0,331.0,424.0,110.0,34.0
8412,0,,211.0,145.0,129.0,209.0,330.0,423.0,110.0,34.0
8412,0,,210.0,158.0,130.0,209.0,317.0,422.0,110.0,34.0
8412,0,,210.0,161.0,129.0,207.0,317.0,420.0,110.0,34.0
8412,0,,194.0,161.0,128.0,199.0,317.0,407.0,110.0,34.0
8412,0,,194.0,156.0,127.0,198.0,317.0,393.0,110.0,34.0
8412,0,,199.0,160.0,127.0,192.0,317.0,397.0,110.0,34.0
8412,0,,207.0,160.0,128.0,203.0,318.0,405.0,110.0,34.0
8573,0,,128.0,150.0,232.0,100.0,330.0,478.0,110.0,33.0
8573,0,,130.0,153.0,234.0,101.0,331.0,477.0,110.0,33.0
8573,0,,129.0,153.0,235.0,101.0,331.0,476.0,110.0,33.0
8573,0,,129.0,154.0,235.0,102.0,331.0,478.0,110.0,33.0
8573,0,,130.0,156.0,236.0,102.0,331.0,477.0,110.0,33.0
8573,0,,131.0,158.0,237.0,103.0,332.0,476.0,110.0,33.0
8573,0,,131.0,158.0,237.0,103.0,331.0,477.0,110.0,33.0
8573,0,,130.0,158.0,237.0,103.0,331.0,480.0,110.0,33.0
8573,0,,131.0,159.0,238.0,103.0,331.0,479.0,110.0,33.0
8573,0,,131.0,159.0,237.0,103.0,331.0,477.0,110.0,33.0
8573,0,,131.0,159.0,238.0,103.0,330.0,477.0,110.0,33.0
8573,0,,131.0,159.0,238.0,103.0,332.0,477.0,110.0,33.0
8573,0,,130.0,158.0,237.0,103.0,331.0,475.0,110.0,33.0
8573,0,,130.0,159.0,237.0,103.0,331.0,476.0,110.0,33.0
8573,0,,130.0,158.0,237.0,103.0,332.0,476.0,110.0,33.0
8573,0,,128.0,158.0,236.0,103.0,331.0,476.0,110.0,33.0
8573,0,,128.0,158.0,236.0,103.0,331.0,476.0,110.0,33.0
8573,0,,128.0,158.0,236.0,103.0,331.0,477.0,110.0,33.0
8573,0,,128.0,159.0,237.0,103.0,331.0,479.0,110.0,33.0
8573,0,,128.0,158.0,237.0,104.0,331.0,477.0,110.0,33.0
8573,0,,128.0,157.0,237.0,104.0,332.0,477.0,110.0,33.0
8573,0,,129.0,159.0,237.0,104.0,331.0,477.0,110.0,34.0
8573,0,,128.0,158.0,237.0,104.0,331.0,476.0,110.0,34.0
8573,0,,94.0,134.0,206.0,88.0,331.0,453.0,110.0,34.0
8573,0,,112.0,144.0,220.0,95.0,331.0,465.0,110.0,33.0
8573,0,,122.0,150.0,228.0,99.0,331.0,472.0,110.0,32.0
8573,0,,126.0,154.0,232.0,101.0,331.0,475.0,110.0,32.0
8573,0,,128.0,157.0,233.0,102.0,331.0,477.0,110.0,32.0
8573,0,,126.0,154.0,234.0,102.0,332.0,479.0,110.0,33.0
8573,0,,126.0,155.0,235.0,103.0,331.0,477.0,110.0,33.0
8573,0,,126.0,155.0,236.0,103.0,331.0,476.0,110.0,33.0
8573,0,,126.0,156.0,236.0,103.0,330.0,477.0,110.0,33.0
8573,0,,126.0,155.0,236.0,103.0,333.0,477.0,110.0,33.0
8573,0,,126.0,156.0,237.0,103.0,331.0,477.0,110.0,33.0
8573,0,,126.0,156.0,237.0,104.0,331.0,477.0,110.0,34.0
8573,0,,127.0,158.0,237.0,104.0,331.0,477.0,110.0,34.0
8573,0,,128.0,159.0,237.0,104.0,331.0,477.0,110.0,34.0
8573,0,,128.0,159.0,238.0,104.0,331.0,477.0,110.0,34.0
8573,0,,128.0,160.0,239.0,105.0,331.0,476.0,110.0,34.0
8573,0,,128.0,158.0,238.0,105.0,331.0,477.0,110.0,34.0
8573,0,,130.0,161.0,239.0,105.0,331.0,478.0,110.0,34.0
8573,0,,129.0,159.0,239.0,105.0,331.0,478.0,110.0,34.0
8573,0,,132.0,163.0,239.0,105.0,331.0,476.0,110.0,34.0
8573,0,,131.0,163.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,130.0,162.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,132.0,164.0,240.0,105.0,331.0,478.0,110.0,34.0
8573,0,,132.0,164.0,239.0,105.0,331.0,478.0,110.0,34.0
8573,0,,130.0,163.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,130.0,163.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,130.0,163.0,239.0,105.0,331.0,477.0,110.0,34.0
8573,0,,129.0,161.0,240.0,105.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,240.0,106.0,331.0,477.0,110.0,34.0
8573,0,,131.0,164.0,240.0,105.0,331.0,477.0,110.0,33.0
8573,0,,130.0,163.0,240.0,105.0,331.0,477.0,110.0,32.0
8573,0,,129.0,162.0,240.0,105.0,331.0,478.0,110.0,33.0
8573,0,,128.0,161.0,239.0,105.0,331.0,479.0,110.0,33.0
8573,0,,131.0,164.0,240.0,106.0,331.0,478.0,110.0,33.0
8573,0,,130.0,163.0,240.0,106.0,331.0,478.0,110.0,34.0
8573,0,,129.0,161.0,240.0,105.0,332.0,478.0,110.0,34.0
8573,0,,129.0,162.0,240.0,106.0,331.0,478.0,110.0,34.0
8573,0,,128.0,161.0,240.0,105.0,331.0,478.0,110.0,34.0
8573,0,,131.0,164.0,240.0,106.0,331.0,478.0,110.0,34.0
8573,0,,96.0,139.0,209.0,90.0,331.0,455.0,110.0,34.0
8573,0,,115.0,149.0,223.0,97.0,331.0,467.0,110.0,34.0
8573,0,,123.0,154.0,231.0,101.0,331.0,474.0,110.0,34.0
8573,0,,127.0,158.0,235.0,103.0,331.0,479.0,110.0,34.0
8573,0,,128.0,158.0,236.0,104.0,331.0,480.0,110.0,34.0
8573,0,,128.0,160.0,239.0,105.0,331.0,478.0,110.0,34.0
8573,0,,130.0,162.0,240.0,105.0,331.0,476.0,110.0,34.0
8573,0,,130.0,161.0,240.0,106.0,332.0,476.0,110.0,34.0
8573,0,,130.0,162.0,240.0,105.0,331.0,477.0,110.0,34.0
8573,0,,129.0,163.0,240.0,106.0,331.0,477.0,110.0,33.0
8573,0,,129.0,163.0,241.0,105.0,332.0,477.0,110.0,32.0
8573,0,,130.0,165.0,241.0,105.0,331.0,478.0,110.0,32.0
8573,0,,130.0,164.0,240.0,105.0,330.0,477.0,110.0,32.0
8573,0,,130.0,164.0,240.0,105.0,331.0,477.0,110.0,33.0
8573,0,,129.0,163.0,240.0,105.0,332.0,477.0,110.0,33.0
8573,0,,130.0,164.0,241.0,106.0,331.0,477.0,110.0,33.0
8573,0,,130.0,164.0,241.0,106.0,332.0,477.0,110.0,33.0
8573,0,,130.0,163.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,163.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,242.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,163.0,241.0,106.0,332.0,478.0,110.0,34.0
8573,0,,131.0,165.0,241.0,106.0,331.0,478.0,110.0,34.0
8573,0,,131.0,165.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,130.0,165.0,241.0,106.0,332.0,478.0,110.0,34.0
8573,0,,131.0,166.0,241.0,106.0,331.0,478.0,110.0,34.0
8573,0,,130.0,164.0,241.0,106.0,331.0,478.0,110.0,34.0
8573,0,,130.0,164.0,241.0,106.0,331.0,476.0,110.0,34.0
8573,0,,132.0,166.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,131.0,164.0,242.0,106.0,331.0,478.0,110.0,34.0
8573,0,,131.0,165.0,242.0,106.0,331.0,477.0,110.0,34.0
8573,0,,131.0,164.0,242.0,106.0,332.0,477.0,110.0,34.0
8573,0,,130.0,164.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,128.0,166.0,242.0,106.0,331.0,479.0,110.0,33.0
8573,0,,130.0,164.0,242.0,106.0,332.0,478.0,110.0,32.0
8573,0,,129.0,163.0,242.0,106.0,331.0,477.0,110.0,32.0
8573,0,,129.0,163.0,241.0,105.0,331.0,476.0,110.0,33.0
8573,0,,128.0,162.0,241.0,106.0,332.0,477.0,110.0,33.0
8573,0,,88.0,134.0,202.0,87.0,331.0,449.0,110.0,34.0
8573,0,,111.0,147.0,219.0,95.0,331.0,464.0,110.0,34.0
8573,0,,122.0,152.0,228.0,100.0,332.0,473.0,110.0,34.0
8573,0,,126.0,155.0,233.0,102.0,331.0,477.0,110.0,34.0
8573,0,,127.0,158.0,237.0,104.0,331.0,480.0,110.0,34.0
8573,0,,129.0,160.0,239.0,105.0,331.0,479.0,110.0,34.0
8573,0,,129.0,160.0,240.0,105.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,241.0,106.0,331.0,476.0,110.0,34.0
8573,0,,129.0,162.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,241.0,106.0,332.0,477.0,110.0,34.0
8573,0,,133.0,166.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,130.0,163.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,161.0,241.0,106.0,331.0,477.0,110.0,34.0
8573,0,,129.0,162.0,242.0,106.0,332.0,477.0,110.0,34.0
8573,0,,129.0,162.0,242.0,106.0,331.0,478.0,110.0,34.0
8573,0,,129.0,163.0,242.0,106.0,331.0,478.0,110.0,34.0
8573,0,,130.0,163.0,242.0,107.0,330.0,478.0,110.0,34.0
8573,0,,131.0,164.0,243.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,166.0,243.0,107.0,332.0,476.0,110.0,34.0
8573,0,,132.0,166.0,243.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,166.0,243.0,107.0,331.0,477.0,110.0,33.0
8573,0,,132.0,166.0,243.0,107.0,331.0,478.0,110.0,33.0
8573,0,,132.0,167.0,243.0,107.0,331.0,477.0,110.0,33.0
8573,0,,132.0,166.0,242.0,106.0,331.0,476.0,110.0,33.0
8573,0,,132.0,167.0,242.0,106.0,330.0,478.0,110.0,33.0
8573,0,,132.0,167.0,242.0,107.0,330.0,476.0,110.0,33.0
8573,0,,133.0,167.0,243.0,107.0,330.0,475.0,110.0,34.0
8573,0,,133.0,168.0,242.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,168.0,242.0,106.0,331.0,478.0,110.0,34.0
8573,0,,133.0,168.0,242.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,167.0,241.0,107.0,331.0,477.0,110.0,34.0
8573,0,,132.0,167.0,241.0,107.0,330.0,478.0,110.0,34.0
8573,0,,132.0,168.0,242.0,107.0,331.0,477.0,110.0,34.0
8573,0,,133.0,168.0,243.0,107.0,330.0,476.0,110.0,34.0
8573,0,,133.0,168.0,242.0,107.0,330.0,478.0,110.0,34.0
